id	ship_name	loa	country_iso3	gear	type	imo	ircs	main_engine_power	auxiliary_engine_power	tonnage_gt	other_tonnage	fish_hold_volume	carrying_capacity	external_marking	start_date	end_date	status	source
PS001	SAN ANDRES	78	ECU	One boat operated purse seines	Purse seiner	8909252	HC4154	4690	0	2193		1862			01/01/2000		active	WCPFC, IMO, GFW, AIS
PS001	SAN ANDRES	78	CYP	One boat operated purse seines	Purse seiner	8909252		4690	0	2193		1862			01/01/1998	31/12/1999	active	WCPFC, IMO, GFW, AIS
PS001	ISABEL TUNA	78	CYP	One boat operated purse seines	Purse seiner	8909252		4690	0	2193		1862			01/01/1991	31/12/1997	active	WCPFC, IMO, GFW, AIS
PS002	UGAVI	81	ECU	Boat or vessel seines	Purse seiner	7910682	HC4385	5020	0	1997		1875			01/04/2001		active	WCPFC, IMO, GFW, AIS
PS002	UGAVI	81	PAN	Boat or vessel seines	Purse seiner	7910682		5020	0	1997		1875			01/03/1998	31/03/2001	active	WCPFC, IMO, GFW, AIS
PS002	UGAVI	81	VUT	Boat or vessel seines	Purse seiner	7910682		5020	0	1997		1875			01/08/1994	28/02/1998	active	WCPFC, IMO, GFW, AIS
PS002	GUADALQUIVIR	81	PAN	Boat or vessel seines	Purse seiner	7910682		5020	0	1997		1875			01/05/1989	31/07/1994	active	WCPFC, IMO, GFW, AIS
ESP000012219	UGAVI DOS	77.3	ECU	Boat or vessel seines	Purse seiner	8206301	HC4593	4400	0	2165		1881			01/09/2004		active	WCPFC, IMO, GFW, AIS
ESP000012219	UGAVI DOS	77.3		Boat or vessel seines	Purse seiner	8206301		4400	0	2165		1881			01/12/2003	31/08/2004	active	WCPFC, IMO, GFW, AIS
ESP000012219	UGAVI DOS	77.3	VUT	Boat or vessel seines	Purse seiner	8206301		4400	0	2165		1881			01/09/2003	30/11/2003	active	WCPFC, IMO, GFW, AIS
ESP000012219	UGAVI DOS	77.3		Boat or vessel seines	Purse seiner	8206301		4400	0	2165		1881			01/07/2003	31/08/2003	active	WCPFC, IMO, GFW, AIS
ESP000012219	UGAVI DOS	77.3	VUT	Boat or vessel seines	Purse seiner	8206301		4400	0	2165		1881			01/12/2002	30/06/2003	active	WCPFC, IMO, GFW, AIS
ESP000012219	ALBACORA DIECISEIS	71.48	ESP	Boat or vessel seines	Purse seiner	8206301	EGRF	3236.19	1728.42	2165	1475.36	1881		3VI-5-9833	01/07/1983	30/11/2002	active	WCPFC, EU REGISTER, IMO, GFW
PS004	PANAMA TUNA	116	ECU	Purse seine	Purse seiner	9175028	HC4697	5850	0	4401.22		3037	2612		01/07/2007		active	IATTC, IMO, GFW
PS004	PANAMA TUNA	116	PAN	Purse seine	Purse seiner	9175028		5850	0	4401.22		3037	2612		01/07/1999	30/06/2007	active	IATTC, IMO, GFW
PS004	PANAMA TUNA	116	ESP	Purse seine	Purse seiner	9175028		5850	0	4401.22		3037	2612		01/01/1999	30/06/1999	active	IATTC, IMO, GFW
ESP000012218	MARIA JOSE J	76.8	ECU	Purse seine	Purse seiner	7403639	HC6770	4400	0	1907		1040	887		01/04/2025		active	IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	CUW	Purse seine	Purse seiner	7403639	PJXU	4000	0	1897		1040	887		01/10/2010	31/03/2025	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	ANT	Purse seine	Purse seiner	7403639	PJXU	4000	0	1897		1040	887		01/08/2010	30/09/2010	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	PAN	Purse seine	Purse seiner	7403639		4000	0	1897		1040	887		01/08/2004	31/07/2010	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	ANT	Purse seine	Purse seiner	7403639		4000	0	1897		1040	887		01/01/1996	31/07/2004	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	ESP	Purse seine	Purse seiner	7403639		4000	0	1897		1040	887		01/01/1995	31/12/1995	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.8	PAN	Purse seine	Purse seiner	7403639		4000	0	1897		1040	887		01/11/1990	31/12/1994	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW
ESP000012218	ALBACORA NUEVE	76.75	ESP	Purse seine	Purse seiner	7403639	EGZN	2940	0	0	1349.63	1040	887	3-CT-41124	01/09/1976	31/10/1990	active	ICCAT (57323588_inoperative), IATTC, EU REGISTER, IMO, GFW
PS006	GURIA	81.54	CUW		Purse seiner	9758351	PJPC								01/12/2015		active	IMO, GFW, AIS
PS007	VALENTINA C	82.25	PAN	Purse seine	Purse seiner	7409140	3E8358	4340	0	1988		1308	1050		01/01/2025		active	IATTC, IMO, GFW, AIS
PS007	VALENTINA C	82.25	COK	Purse seine	Purse seiner	7409140	E5U4427	4340	0	1988		1308	1050		01/05/2022	31/12/2024	active	IATTC, IMO, GFW, AIS
PS007	GALERNA	82.25	CUW	Purse seine	Purse seiner	7409140	PJQD	4340	0	1988		1308	1050		01/10/2010	30/04/2022	active	IATTC, IMO, GFW, AIS
PS007	GALERNA	82.25	ANT	Purse seine	Purse seiner	7409140	PJQD	4340	0	1988		1308	1050		01/02/2006	30/09/2010	active	IATTC, IMO, GFW, AIS
PS007	GERMON	82.25	MAR	Purse seine	Purse seiner	7409140		4340	0	1988		1308	1050		30/11/1979	31/01/2006	active	IATTC, IMO, GFW, AIS
PS008	PLAYA DE AZKORRI	87	SYC	Purse seines	Purse seiner	9476111	S7PJ			2548		7215.13			14/02/2023		active	IOTC, IMO, GFW, AIS
PS008	PLAYA DE AZKORRI	87	BLZ	Purse seines	Purse seiner	9476111	V3ML9			2548		7215.13			01/03/2017	13/02/2023	active	IOTC, IMO, GFW, AIS
PS008	PLAYA DE AZKORRI	87	CPV	Purse seines	Purse seiner	9476111	D4GW			2548		7215.13			01/06/2014	28/02/2017	active	IOTC, IMO, GFW, AIS
PS008	PLAYA DE AZKORRI	87	BLZ	Purse seines	Purse seiner	9476111	V3ML9			2548		7215.13			01/10/2009	31/05/2014	active	IOTC, IMO, GFW, AIS
PS009	SANT YAGO TRES	79.8	GTM	Purse seines	Purse seiner	8919427	TGSY3	3530	0	2109 (GRT)			1300		17/03/2014		active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	CAP COZ	79.8	GTM	Purse seines	Purse seiner	8919427	TGSY3	3530	0	2109 (GRT)			1300		01/01/2014	16/03/2014	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	CAP COZ	79.8	BLZ	Purse seines	Purse seiner	8919427	V3PV7	3530	0	2109 (GRT)			1300		01/02/2011	31/12/2013	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	CAP COZ	79.8	THA	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/01/2011	31/01/2011	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	THAI UNION 1	79.8	THA	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/08/2007	31/12/2010	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	SUCCESS 1	79.8	GNQ	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/07/2007	31/07/2007	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	PROSPEROUS	79.8	THA	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/01/2006	30/06/2007	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	AMAZON VICTORY	79.8	GNQ	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/08/2005	31/12/2005	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	TS EXCELLENCE	79.8	COM	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/01/2005	31/07/2005	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	TS EXCELLENCE	79.8	BLZ	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/10/2002	31/12/2004	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	TS EXCELLENCE	79.8	PAN	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/11/1997	30/09/2002	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS009	PINNA	79.8	LBR	Purse seines	Purse seiner	8919427		3530	0	2109 (GRT)			1300		01/09/1991	31/10/1997	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	SANT YAGO UNO	79.8	GTM	Purse seines	Purse seiner	8919439	TGP012	4800	0	2109 (GRT)					01/06/2003		active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	SANT YAGO I	79.8	GTM	Purse seines	Purse seiner	8919439	TGP012	4800	0	2109 (GRT)					01/01/2002	31/05/2003	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	SANT YAGO I	79.8	ANT	Purse seines	Purse seiner	8919439		4800	0	2109 (GRT)					01/11/1997	31/12/2001	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	DOURVEIL	79.8	ANT	Purse seines	Purse seiner	8919439		4800	0	2109 (GRT)					01/05/1997	31/10/1997	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	DROUVEIL	79.8	VCT	Purse seines	Purse seiner	8919439		4800	0	2109 (GRT)					01/10/1996	30/04/1997	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	DROUVEIL	79.8	LBR	Purse seines	Purse seiner	8919439		4800	0	2109 (GRT)					01/01/1996	30/09/1996	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS010	PURPURA	79.8	LBR	Purse seines	Purse seiner	8919439		4800	0	2109 (GRT)					01/11/1991	31/12/1995	active	ICCAT (57323588_inoperative), IMO, GFW, AIS
PS011	ALBACORA CARIBE	77.8	PAN	Purse seines	Purse seiner	8716825	H9HB	4400	0	2136 (GRT)		1881			01/08/2008		active	ICCAT (57323588_active), IMO, GFW, AIS
PS011	ALBACORA CARIBE	77.8	ANT	Purse seines	Purse seiner	8716825		4400	0	2136 (GRT)		1881			01/01/2003	31/07/2008	active	ICCAT (57323588_active), IMO, GFW, AIS
PS011	ALBACORA CARIBE	77.8	VEN	Purse seines	Purse seiner	8716825		4400	0	2136 (GRT)		1881			01/01/2001	31/12/2002	active	ICCAT (57323588_active), IMO, GFW, AIS
PS011	ALBACORA CARIBE	77.8	ANT	Purse seines	Purse seiner	8716825		4400	0	2136 (GRT)		1881			01/01/1996	31/12/2000	active	ICCAT (57323588_active), IMO, GFW, AIS
PS011	ALBACORA CARIBE	77.8	PAN	Purse seines	Purse seiner	8716825		4400	0	2136 (GRT)		1881			01/03/1990	31/12/1995	active	ICCAT (57323588_active), IMO, GFW, AIS
PS012	TXOPITUNA DOS	77.3	PAN	Purse seine	Purse seiner	7805966	H8EE	4400	0	2167		1781	1390		22/02/2014		active	IATTC, IMO, GFW, AIS
PS012	INTERTUNA UNO	77.3	SYC	Purse seine	Purse seiner	7805966		4400	0	2167		1781	1390		01/11/2003	21/02/2014	active	IATTC, IMO, GFW, AIS
PS012	INTERTUNA UNO	77.3	ANT	Purse seine	Purse seiner	7805966		4400	0	2167		1781	1390		01/08/1997	31/10/2003	active	IATTC, IMO, GFW, AIS
PS012	INTERTUNA UNO	77.3	PAN	Purse seine	Purse seiner	7805966		4400	0	2167		1781	1390		01/06/1990	31/07/1997	active	IATTC, IMO, GFW, AIS
PS012	MARATUN	77.3	PAN	Purse seine	Purse seiner	7805966		4400	0	2167		1781	1390		01/03/1980	31/05/1990	active	IATTC, IMO, GFW, AIS
PS013	TXOPITUNA	77.3	PAN	Purse seine	Purse seiner	8719310	3EYS	4400	0	2058		1881	1427		01/04/2010		active	IATTC, IMO, GFW, AIS
PS013	INTERTUNA DOS	77.3	PAN	Purse seine	Purse seiner	8719310		4400	0	2058		1881	1427		01/03/2010	31/03/2010	active	IATTC, IMO, GFW, AIS
PS013	INTERTUNA DOS	77.3	SYC	Purse seine	Purse seiner	8719310		4400	0	2058		1881	1427		01/11/2003	28/02/2010	active	IATTC, IMO, GFW, AIS
PS013	INTERTUNA DOS	77.3	ANT	Purse seine	Purse seiner	8719310		4400	0	2058		1881	1427		01/07/1997	31/10/2003	active	IATTC, IMO, GFW, AIS
PS013	INTERTUNA DOS	77.3	PAN	Purse seine	Purse seiner	8719310		4400	0	2058		1881	1427		01/02/1990	30/06/1997	active	IATTC, IMO, GFW, AIS
PS014	GALERNA LAU	82.06	MUS	Purse seine	Purse seiner	9861495	3B2856			3206		1909			18/12/2023		active	IOTC, IMO, GFW
PS014	GALERNA LAU	82.06	PAN	Purse seine	Purse seiner	9861495	3FWW4			3206		1909			01/10/2019	17/12/2023	active	IOTC, IMO, GFW
PS015	MONTELUCIA	91.9	SLV	With purse lines (purse seine)	Purse seiner	9232668	YSC2001	6607	0	3005		2554			01/02/2001		active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
PS016	MONTEROCIO	79.8	SLV	With purse lines (purse seine)	Purse seiner	8919453	YSC2002	4800	0	2118		1919			01/02/2001		active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
PS016	MONTEROCIO	79.8	PNG	With purse lines (purse seine)	Purse seiner	8919453		4800	0	2118		1919			01/01/1998	31/01/2001	active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
PS016	MONTEROCIO	79.8	LBR	With purse lines (purse seine)	Purse seiner	8919453		4800	0	2118		1919			01/01/1997	31/12/1997	active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
PS016	GOMER	79.8	LBR	With purse lines (purse seine)	Purse seiner	8919453		4800	0	2118		1919			01/01/1992	31/12/1996	active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
ESP000020209	MONTELAPE	78.39	SLV	With purse lines (purse seine)	Purse seiner	8021775	YSC2004	4407	0	2058		1559			01/01/2009		active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
ESP000020209	MONTELAPE	78.39	SYC	With purse lines (purse seine)	Purse seiner	8021775		4407	0	2058		1559			27/10/2003	31/12/2008	active	ICCAT (57323588_active), WCPFC, IMO, GFW, AIS
ESP000020209	MONTELAPE	78.1	ESP	With purse lines (purse seine)	Purse seiner	8021775	EHPP	3000.83	1323.9	2058	1095	1559		3CO-2-3865	01/01/1988	26/10/2003	active	ICCAT (57323588_active), WCPFC, EU REGISTER, IMO, GFW
ESP000020208	HELLAS TUNA	82.83	PAN	Purse seine	Purse seiner	8021763	HPAL	4345	0	2157		1860	1430		15/04/2021		active	ICCAT (57323588_inoperative), IATTC, IMO, GFW, AIS
ESP000020208	MONTEALEGRE	82.83	PAN	Purse seine	Purse seiner	8021763	HPAL	4345	0	2157		1860	1430		01/03/2012	14/04/2021	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW, AIS
ESP000020208	MONTEALEGRE	82.83	SLV	Purse seine	Purse seiner	8021763	YSC2005	4345	0	2157		1860	1430		01/02/2009	29/02/2012	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW, AIS
ESP000020208	MONTEALEGRE	82.83	SYC	Purse seine	Purse seiner	8021763		4345	0	2157		1860	1430		01/01/2005	31/01/2009	active	ICCAT (57323588_inoperative), IATTC, IMO, GFW, AIS
ESP000020208	MONTEALEGRE	82.51	ESP	Purse seine	Purse seiner	8021763	EHPT	3000.83	1323.9	1682	1095	1860	1430	3CO-2-3866	01/01/1988	31/12/2004	active	ICCAT (57323588_inoperative), IATTC, EU REGISTER, IMO, GFW
PS019	SISARGAS	79.8	SLV	Purse seine	Purse seiner	9698551	YS2018	5500	0	1914		1729	1477		07/05/2018		active	IATTC, IMO, GFW
PS019	CAPE ANN	79.8	USA	Purse seine	Purse seiner	9698551	WDH8357	5500	0	1914		1729	1477		16/02/2015	06/05/2018	active	IATTC, IMO, GFW
ESP000013237	MONTEFRISA NUEVE	76.75	SLV	Purse seine	Purse seiner	7409176	YSC3216	4400	0	1902 (GRT)		1358			11/03/2016		active	ICCAT (57323588_active), IMO, GFW, AIS
ESP000013237	MONTEFRISA NUEVE	76.75	CPV	Purse seine	Purse seiner	7409176	D4FA	4400	0	1902 (GRT)		1358			01/06/2012	10/03/2016	active	ICCAT (57323588_active), IMO, GFW, AIS
ESP000013237	MONTEFRISA NUEVE	76.75	GHA	Purse seine	Purse seiner	7409176		4400	0	1902 (GRT)		1358			01/10/2011	31/05/2012	active	ICCAT (57323588_active), IMO, GFW, AIS
